time,GEM_ver,state_ID,x1,x2,x3,x4,x5
0.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0
0.1,1.0,1.0,12.0,15.0,12.0,13.0,13.0
0.2,1.0,1.0,17.0,22.0,18.0,21.0,15.0
0.3,1.0,1.0,24.0,33.0,25.0,32.0,18.0
0.4,1.0,1.0,25.0,43.0,25.0,47.0,23.0
0.5,1.0,1.0,31.0,62.0,27.0,56.0,31.0
0.6,1.0,1.0,40.0,81.0,24.0,83.0,40.0
0.7,1.0,1.0,58.0,113.0,26.0,114.0,56.0
0.8,1.0,1.0,80.0,151.0,36.0,158.0,76.0
0.9,1.0,1.0,108.0,183.0,46.0,216.0,116.0
1.0,1.0,1.0,151.0,244.0,52.0,314.0,155.0
1.1,1.0,1.0,209.0,322.0,69.0,433.0,217.0
1.2,1.0,1.0,299.0,423.0,83.0,574.0,309.0
1.3,1.0,1.0,406.0,544.0,96.0,746.0,400.0
1.4,1.0,1.0,536.0,686.0,137.0,974.0,538.0
1.5,1.0,1.0,708.0,875.0,166.0,1217.0,717.0
1.6,1.0,1.0,933.0,1088.0,206.0,1488.0,899.0
1.7,1.0,1.0,1219.0,1257.0,252.0,1725.0,1144.0
1.8,1.0,1.0,1510.0,1467.0,319.0,1970.0,1383.0
1.9,1.0,1.0,1796.0,1681.0,390.0,2168.0,1645.0
2.0,1.0,1.0,2090.0,1872.0,502.0,2308.0,1894.0
2.1,1.0,1.0,2384.0,1990.0,610.0,2404.0,2118.0
2.2,1.0,1.0,2608.0,2115.0,731.0,2532.0,2280.0
2.3,1.0,1.0,2713.0,2191.0,848.0,2662.0,2430.0
2.4,1.0,1.0,2840.0,2295.0,958.0,2705.0,2559.0
2.5,1.0,1.0,2945.0,2357.0,1077.0,2750.0,2663.0
2.6,1.0,1.0,3055.0,2424.0,1185.0,2779.0,2747.0
2.7,1.0,1.0,3151.0,2484.0,1302.0,2817.0,2834.0
2.8,1.0,1.0,3259.0,2556.0,1405.0,2861.0,2904.0
2.9,1.0,1.0,3334.0,2625.0,1486.0,2872.0,3006.0
3.0,1.0,1.0,3408.0,2677.0,1596.0,2862.0,3079.0
3.1,1.0,1.0,3442.0,2720.0,1673.0,2861.0,3154.0
3.2,1.0,1.0,3504.0,2747.0,1735.0,2882.0,3212.0
3.3,1.0,1.0,3608.0,2788.0,1768.0,2877.0,3247.0
3.4,1.0,1.0,3667.0,2835.0,1855.0,2904.0,3331.0
3.5,1.0,1.0,3761.0,2866.0,1923.0,2911.0,3334.0
3.6,1.0,1.0,3799.0,2933.0,1966.0,2907.0,3346.0
3.7,1.0,1.0,3824.0,2942.0,2066.0,2911.0,3389.0
3.8,1.0,1.0,3887.0,3016.0,2118.0,2913.0,3405.0
3.9,1.0,1.0,3990.0,3026.0,2156.0,2964.0,3434.0
4.0,1.0,1.0,4025.0,3071.0,2239.0,2957.0,3450.0
4.1,1.0,1.0,4061.0,3110.0,2317.0,2965.0,3496.0
4.2,1.0,1.0,4106.0,3162.0,2382.0,2986.0,3525.0
4.3,1.0,1.0,4149.0,3193.0,2411.0,2998.0,3621.0
4.4,1.0,1.0,4217.0,3251.0,2495.0,2971.0,3652.0
4.5,1.0,1.0,4341.0,3301.0,2554.0,2978.0,3701.0
4.6,1.0,1.0,4410.0,3329.0,2565.0,2975.0,3728.0
4.7,1.0,1.0,4453.0,3395.0,2590.0,2995.0,3764.0
4.8,1.0,1.0,4521.0,3442.0,2703.0,2983.0,3787.0
4.9,1.0,1.0,4560.0,3493.0,2769.0,3006.0,3897.0
5.0,1.0,1.0,4683.0,3485.0,2832.0,3025.0,3961.0
0.0,2.0,1.0,10.0,10.0,10.0,10.0,10.0
0.1,2.0,1.0,18.0,16.0,15.0,16.0,14.0
0.2,2.0,1.0,29.0,27.0,19.0,19.0,16.0
0.3,2.0,1.0,42.0,39.0,25.0,17.0,21.0
0.4,2.0,1.0,57.0,52.0,31.0,26.0,32.0
0.5,2.0,1.0,72.0,69.0,40.0,40.0,48.0
0.6,2.0,1.0,94.0,103.0,49.0,53.0,66.0
0.7,2.0,1.0,114.0,145.0,63.0,71.0,90.0
0.8,2.0,1.0,152.0,203.0,85.0,99.0,118.0
0.9,2.0,1.0,200.0,276.0,112.0,135.0,143.0
1.0,2.0,1.0,278.0,383.0,148.0,175.0,205.0
1.1,2.0,1.0,344.0,482.0,191.0,217.0,287.0
1.2,2.0,1.0,457.0,627.0,255.0,291.0,382.0
1.3,2.0,1.0,588.0,789.0,327.0,355.0,484.0
1.4,2.0,1.0,753.0,1001.0,422.0,457.0,628.0
1.5,2.0,1.0,938.0,1207.0,552.0,594.0,792.0
1.6,2.0,1.0,1150.0,1470.0,681.0,730.0,1016.0
1.7,2.0,1.0,1345.0,1686.0,839.0,903.0,1238.0
1.8,2.0,1.0,1538.0,1910.0,1014.0,1087.0,1441.0
1.9,2.0,1.0,1721.0,2111.0,1194.0,1279.0,1654.0
2.0,2.0,1.0,1889.0,2274.0,1405.0,1446.0,1840.0
2.1,2.0,1.0,2053.0,2422.0,1618.0,1640.0,2013.0
2.2,2.0,1.0,2161.0,2535.0,1768.0,1797.0,2214.0
2.3,2.0,1.0,2292.0,2651.0,1920.0,1945.0,2354.0
2.4,2.0,1.0,2405.0,2786.0,2039.0,2080.0,2476.0
2.5,2.0,1.0,2480.0,2848.0,2150.0,2189.0,2538.0
2.6,2.0,1.0,2536.0,2865.0,2243.0,2311.0,2612.0
2.7,2.0,1.0,2545.0,2930.0,2326.0,2425.0,2642.0
2.8,2.0,1.0,2603.0,2971.0,2404.0,2521.0,2646.0
2.9,2.0,1.0,2603.0,3002.0,2449.0,2603.0,2725.0
3.0,2.0,1.0,2625.0,3034.0,2515.0,2662.0,2729.0
3.1,2.0,1.0,2654.0,3096.0,2553.0,2769.0,2741.0
3.2,2.0,1.0,2679.0,3125.0,2603.0,2822.0,2764.0
3.3,2.0,1.0,2727.0,3133.0,2597.0,2877.0,2790.0
3.4,2.0,1.0,2755.0,3197.0,2641.0,2967.0,2760.0
3.5,2.0,1.0,2759.0,3203.0,2676.0,3069.0,2778.0
3.6,2.0,1.0,2791.0,3238.0,2701.0,3114.0,2772.0
3.7,2.0,1.0,2809.0,3238.0,2775.0,3184.0,2793.0
3.8,2.0,1.0,2847.0,3261.0,2808.0,3210.0,2815.0
3.9,2.0,1.0,2867.0,3303.0,2801.0,3256.0,2809.0
4.0,2.0,1.0,2865.0,3322.0,2858.0,3310.0,2800.0
4.1,2.0,1.0,2861.0,3326.0,2859.0,3406.0,2823.0
4.2,2.0,1.0,2863.0,3357.0,2853.0,3425.0,2858.0
4.3,2.0,1.0,2929.0,3378.0,2917.0,3523.0,2845.0
4.4,2.0,1.0,2942.0,3360.0,2930.0,3604.0,2870.0
4.5,2.0,1.0,2947.0,3420.0,2924.0,3681.0,2875.0
4.6,2.0,1.0,2978.0,3452.0,2925.0,3682.0,2879.0
4.7,2.0,1.0,3016.0,3473.0,2962.0,3747.0,2895.0
4.8,2.0,1.0,3021.0,3507.0,2994.0,3841.0,2925.0
4.9,2.0,1.0,3031.0,3529.0,3006.0,3894.0,2943.0
5.0,2.0,1.0,3092.0,3575.0,3033.0,3941.0,2959.0
0.0,3.0,1.0,10.0,10.0,10.0,10.0,10.0
0.1,3.0,1.0,13.0,14.0,13.0,15.0,14.0
0.2,3.0,1.0,18.0,18.0,17.0,21.0,22.0
0.3,3.0,1.0,24.0,24.0,23.0,29.0,35.0
0.4,3.0,1.0,33.0,31.0,32.0,32.0,42.0
0.5,3.0,1.0,46.0,40.0,48.0,41.0,55.0
0.6,3.0,1.0,69.0,63.0,63.0,52.0,73.0
0.7,3.0,1.0,95.0,73.0,88.0,68.0,91.0
0.8,3.0,1.0,128.0,96.0,121.0,75.0,128.0
0.9,3.0,1.0,175.0,126.0,169.0,100.0,171.0
1.0,3.0,1.0,232.0,161.0,234.0,131.0,213.0
1.1,3.0,1.0,323.0,232.0,323.0,177.0,259.0
1.2,3.0,1.0,426.0,293.0,406.0,245.0,341.0
1.3,3.0,1.0,545.0,386.0,550.0,311.0,432.0
1.4,3.0,1.0,714.0,517.0,718.0,392.0,540.0
1.5,3.0,1.0,909.0,692.0,938.0,484.0,670.0
1.6,3.0,1.0,1156.0,867.0,1181.0,582.0,818.0
1.7,3.0,1.0,1419.0,1108.0,1420.0,706.0,969.0
1.8,3.0,1.0,1652.0,1327.0,1683.0,832.0,1120.0
1.9,3.0,1.0,1896.0,1562.0,1939.0,990.0,1311.0
2.0,3.0,1.0,2157.0,1777.0,2131.0,1135.0,1479.0
2.1,3.0,1.0,2308.0,2001.0,2281.0,1288.0,1619.0
2.2,3.0,1.0,2462.0,2181.0,2430.0,1420.0,1727.0
2.3,3.0,1.0,2600.0,2343.0,2501.0,1593.0,1870.0
2.4,3.0,1.0,2663.0,2442.0,2626.0,1728.0,1956.0
2.5,3.0,1.0,2761.0,2539.0,2696.0,1879.0,2046.0
2.6,3.0,1.0,2777.0,2618.0,2734.0,1970.0,2101.0
2.7,3.0,1.0,2824.0,2698.0,2800.0,2020.0,2189.0
2.8,3.0,1.0,2827.0,2737.0,2840.0,2050.0,2235.0
2.9,3.0,1.0,2877.0,2773.0,2887.0,2143.0,2300.0
3.0,3.0,1.0,2884.0,2775.0,2913.0,2207.0,2321.0
3.1,3.0,1.0,2912.0,2756.0,2957.0,2255.0,2342.0
3.2,3.0,1.0,2907.0,2788.0,2987.0,2267.0,2345.0
3.3,3.0,1.0,2947.0,2786.0,2976.0,2263.0,2413.0
3.4,3.0,1.0,2969.0,2802.0,3001.0,2288.0,2453.0
3.5,3.0,1.0,3015.0,2808.0,3033.0,2310.0,2480.0
3.6,3.0,1.0,3035.0,2816.0,3053.0,2332.0,2500.0
3.7,3.0,1.0,3064.0,2836.0,3070.0,2334.0,2520.0
3.8,3.0,1.0,3082.0,2822.0,3069.0,2303.0,2538.0
3.9,3.0,1.0,3036.0,2818.0,3066.0,2353.0,2548.0
4.0,3.0,1.0,3070.0,2843.0,3134.0,2360.0,2590.0
4.1,3.0,1.0,3067.0,2860.0,3160.0,2382.0,2619.0
4.2,3.0,1.0,3099.0,2874.0,3190.0,2411.0,2653.0
4.3,3.0,1.0,3105.0,2834.0,3230.0,2434.0,2633.0
4.4,3.0,1.0,3198.0,2825.0,3199.0,2453.0,2644.0
4.5,3.0,1.0,3184.0,2824.0,3250.0,2450.0,2686.0
4.6,3.0,1.0,3202.0,2850.0,3230.0,2444.0,2687.0
4.7,3.0,1.0,3191.0,2859.0,3235.0,2454.0,2727.0
4.8,3.0,1.0,3251.0,2844.0,3220.0,2438.0,2766.0
4.9,3.0,1.0,3246.0,2827.0,3267.0,2475.0,2795.0
5.0,3.0,1.0,3259.0,2864.0,3295.0,2511.0,2812.0
